filename,book_id,status,category,last_known_run,dependencies,target_path,notes
artifacts/凰宫梦角色形象/finalize_role_export_2026_08_14.py,1836527,active,export,2026-08-14,verified-179-baseline,books/1836527-凰宫梦/scripts/active/finalize-role-export.py,"继续维护，调整为新 final 路径"
artifacts/凰宫梦角色形象/upload_to_dify.py,1836527,active,sync,2026-08-14,verified-179-images,books/1836527-凰宫梦/scripts/active/upload-images-to-dify.py,"继续维护，上传记录改为本地忽略文件"
artifacts/凰宫梦角色形象/normalize_roles_2026_08_14.py,1836527,historical,normalize,2026-08-14,legacy-179-baseline,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"归一流程已完成"
scripts/apply-huanggong-fact-audit-v6.py,1836527,historical,audit,2026-08-12,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"依赖已清理的中间数据"
scripts/apply-huanggong-temperament-preflight.mjs,1836527,historical,audit,2026-08-12,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"依赖已清理的中间数据"
scripts/apply-huanggong-validation-face-signatures.mjs,1836527,historical,audit,2026-08-12,missing-face-signatures-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"依赖已清理的中间数据"
scripts/apply-wenshu-princess-audit.py,1836527,historical,audit,2026-08-12,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"单角色修订已完成"
scripts/audit-huanggong-character-names.mjs,1836527,historical,audit,2026-08-07,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧角色命名审计"
scripts/audit-huanggong-exclusive-aliases.mjs,1836527,historical,audit,2026-08-10,legacy-lark-records,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧别名审计"
scripts/audit-huanggong-temperament-evidence.mjs,1836527,historical,audit,2026-08-12,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧气质证据审计"
scripts/build-face-signatures.mjs,1836527,historical,build,2026-08-06,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"文件名通用但实现硬编码凰宫梦"
scripts/build-huanggong-characters.mjs,1836527,historical,build,2026-08-07,database-and-legacy-output,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"初始角色抽取流程"
scripts/build-huanggong-has-name-updates.mjs,1836527,historical,build,2026-08-07,legacy-lark-records,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧飞书字段更新"
scripts/build-huanggong-temp-normalization.py,1836527,historical,normalize,2026-08-14,legacy-baseline-runs,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"九轮临时归一流程"
scripts/export-huanggong-character-aliases.mjs,1836527,historical,export,2026-08-07,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧别名导出依赖已清理数据"
scripts/generate-consort-face-preview-10.py,1836527,historical,generate,2026-08-06,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"早期预览批次"
scripts/generate-female-face-diversity-preview-10.py,1836527,historical,generate,2026-08-06,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"早期女性脸型预览"
scripts/generate-female-face-validation-12-v1.py,1836527,historical,generate,2026-08-12,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"女性去共脸验证已完成"
scripts/generate-huanggong-images-v6-ming.py,1836527,historical,generate,2026-08-12,missing-characters-and-face-signatures,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"当前输入已不存在，不能作为维护入口"
scripts/generate-huanggong-images-v6-qing-abandoned.py,1836527,historical,generate,2026-08-12,abandoned-branch,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"文件名已明确标记 abandoned"
scripts/generate-huanggong-images.py,1836527,historical,generate,2026-08-06,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧版生成器"
scripts/generate-male-face-diversity-preview-10.py,1836527,historical,generate,2026-08-06,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"早期男性脸型预览"
scripts/generate-style-preview-10-thickpaint.py,1836527,historical,generate,2026-08-06,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"早期厚涂风格预览"
scripts/generate-style-preview-10.py,1836527,historical,generate,2026-08-06,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"早期风格预览"
scripts/prepare-huanggong-lark-records.mjs,1836527,historical,sync,2026-08-14,missing-characters-and-face-signatures,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧飞书记录准备"
scripts/replace-huanggong-audit-images-v6.py,1836527,historical,repair,2026-08-12,legacy-audit-images,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧审计图片替换"
scripts/sync-huanggong-fact-audit-v6.py,1836527,historical,sync,2026-08-12,legacy-generator,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧事实审计同步"
scripts/sync-huanggong-lark-v6-ming.mjs,1836527,historical,sync,2026-08-12,missing-characters-and-face-signatures,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧飞书图片同步"
scripts/sync-huanggong-lark.mjs,1836527,historical,sync,2026-08-07,missing-characters-json,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"旧飞书同步"
scripts/upload-huanggong-temp-normalization-to-lark.py,1836527,historical,sync,2026-08-14,legacy-normalization-runs,books/1836527-凰宫梦/archive/2026/legacy-scripts/,"临时归一结果上传"
